"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.45682982731897e-14,0.463045434933498,0.289,0.22,4.84929071316217e-10,0,"TSPYL1"
2.96269753173509e-14,0.542930080732885,0.217,0.158,5.84777238813872e-10,0,"PQLC3"
3.25911544227762e-14,0.682681687855905,0.128,0.079,6.43284205996757e-10,0,"TAB2"
5.2636996336361e-14,0.426493523088831,0.255,0.188,1.03894903368709e-09,0,"ABCB1"
6.19434162864668e-14,0.587081929878869,0.142,0.092,1.22263915066228e-09,0,"CXorf38"
6.36441773019192e-14,0.51204972219993,0.214,0.152,1.25620877158528e-09,0,"NCOA7"
8.77826949201897e-14,0.519417983308963,0.176,0.119,1.7326548323347e-09,0,"GPR55"
9.29322459535401e-14,0.478552168797711,0.26,0.197,1.83429667063097e-09,0,"GBP1"
1.07846598470901e-13,0.669021008166906,0.135,0.086,2.12867616061865e-09,0,"DNAJC11"
1.12511423834417e-13,0.681965153554731,0.125,0.078,2.22075048364372e-09,0,"CDKN2D"
1.38018908750333e-13,0.508771518711738,0.191,0.133,2.72421722091407e-09,0,"RPS6KA5"
1.4087644698571e-13,0.365364885537956,0.376,0.302,2.78061931060395e-09,0,"GIMAP6"
1.59694443580765e-13,0.284815558378958,0.262,0.199,3.15204892739714e-09,0,"TCF7"
1.69793891937513e-13,0.377303236715975,0.391,0.324,3.35139183906264e-09,0,"SVIP"
1.88335744459408e-13,0.449735618698826,0.246,0.181,3.7173709241398e-09,0,"LBR"
2.74811940311076e-13,0.495208129992675,0.233,0.173,5.42423807786002e-09,0,"ZYX"
2.9086639126774e-13,0.255987221085336,0.526,0.448,5.74112083084265e-09,0,"PIP4K2A"
2.96994717448002e-13,0.288627394259646,0.487,0.414,5.86208173298867e-09,0,"SCAF11"
2.97588766508566e-13,0.353531355109484,0.385,0.315,5.87380707334608e-09,0,"KPNB1"
3.03289669014204e-13,0.340932838119259,0.266,0.2,5.98633148700235e-09,0,"CLDND1"
3.07999683781868e-13,0.275236977846753,0.525,0.449,6.07929775848652e-09,0,"TAF7"
3.21501575128319e-13,0.337510744839068,0.309,0.239,6.34579808988276e-09,0,"CHD2"
3.2436335310722e-13,0.519831928438231,0.209,0.15,6.4022838636303e-09,0,"PPP2R5E"
3.91786194044196e-13,0.28941830334133,0.494,0.434,7.73307589804433e-09,0,"TMED2"
3.94666534682758e-13,0.563673525774447,0.168,0.114,7.78992806156828e-09,0,"AZIN1"
4.09597736207484e-13,0.450265927958062,0.278,0.214,8.08464011726331e-09,0,"LDLRAD4"
4.49041447809607e-13,0.368585870322562,0.333,0.261,8.86318009686602e-09,0,"LPIN1"
5.12140205090126e-13,0.317025531248824,0.481,0.41,1.01086233680689e-08,0,"CSDE1"
8.78322840145761e-13,0.547612831865039,0.198,0.144,1.7336336218797e-08,0,"CD5"
9.64941475866963e-13,0.294142786771718,0.46,0.385,1.90460148506621e-08,0,"ANKRD44"
1.14922115762389e-12,0.659424230351653,0.138,0.091,2.26833272091803e-08,0,"PECAM1"
1.16467038559164e-12,0.62812705973283,0.154,0.104,2.29882640708077e-08,0,"ZCCHC6"
1.17657944595482e-12,0.509919908639351,0.17,0.117,2.32233251042561e-08,0,"ARL4A"
1.20546040267109e-12,0.5328256796185,0.205,0.15,2.3793377427922e-08,0,"PTBP3"
1.23003841496538e-12,0.38387437397593,0.234,0.173,2.42784982345866e-08,0,"SPG7"
1.43462929572749e-12,0.484725548526013,0.228,0.168,2.83167130390693e-08,0,"UHMK1"
1.5136048677603e-12,0.819360178690247,0.105,0.068,2.98755328798527e-08,0,"COCH"
1.68087419458072e-12,0.26568926630354,0.546,0.479,3.31770948526342e-08,0,"PCBP1"
1.69895796561827e-12,0.445155254582718,0.267,0.205,3.35340323253733e-08,0,"C5orf56"
2.08519570628281e-12,0.483219886724941,0.214,0.156,4.115759285061e-08,0,"MPHOSPH9"
2.093159687645e-12,0.450412178506744,0.251,0.189,4.13147859147371e-08,0,"ARAP2"
2.70797245434572e-12,0.3499081425917,0.343,0.275,5.34499603038759e-08,0,"PRKAR1A"
2.73707759890794e-12,0.256852454455183,0.442,0.367,5.40244376472449e-08,0,"KTN1"
3.06128321495049e-12,0.6337403668997,0.137,0.091,6.04236080966928e-08,0,"GATAD2A"
3.24618756426541e-12,0.379054068769922,0.324,0.258,6.40732501434707e-08,0,"SSR1"
3.34801233644873e-12,0.670243197531837,0.131,0.086,6.6083067496825e-08,0,"NBPF19"
3.50674069168674e-12,0.447925146088141,0.202,0.145,6.92160477725129e-08,0,"KDM2A"
6.0224874178685e-12,0.426164622483194,0.258,0.196,1.18871856653888e-07,0,"ARL5A"
7.38555206715871e-12,0.510968556310018,0.19,0.137,1.45776026701579e-07,0,"C18orf32"
7.65190354779256e-12,0.460808379688759,0.215,0.158,1.5103327222633e-07,0,"ANKRD49"
9.02164930765117e-12,0.328728940617875,0.398,0.33,1.78069314034419e-07,0,"TRAM1"
1.01995447064127e-11,0.630981282264506,0.147,0.1,2.01318613415173e-07,0,"MUM1"
1.20965148618121e-11,0.414762516237056,0.266,0.204,2.38761010342447e-07,0,"PABPC4"
1.21941850135024e-11,0.431902261639336,0.155,0.107,2.40688823796511e-07,0,"SLC30A7"
1.3200134381014e-11,0.36519021120654,0.345,0.281,2.60544252412453e-07,0,"FGFR1OP2"
1.34719986930695e-11,0.474627622326424,0.222,0.166,2.65910310203806e-07,0,"ATXN7"
1.49148654678355e-11,0.648605212871517,0.129,0.085,2.94389614604137e-07,0,"KIAA0040"
1.87445764839209e-11,0.457392135846275,0.236,0.18,3.69980450639631e-07,0,"PKN1"
1.95535457140414e-11,0.421506208989545,0.285,0.234,3.8594788530375e-07,0,"TMEM134"
2.09250949000604e-11,0.308957258889615,0.35,0.282,4.13019523137392e-07,0,"STOM"
3.14465844255785e-11,0.440026528001161,0.186,0.134,6.20692683392069e-07,0,"PURA"
