"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000223509",-0.162173115844612,2.50230171294609,-3.27553696092839,0.0011687461648905,0.00623458456782162,-1.28093234591354,NA,NA,NA,"Not Significant"
"ENSG00000185864",-0.262384241498606,1.41738937256407,-3.27534966395526,0.00116949628061753,0.00623543072850855,-1.1806774613036,"NPIPB4","440345","nuclear pore complex interacting protein family member B4","Not Significant"
"ENSG00000153064",-0.841200542332293,3.20792370756487,-3.27486601237615,0.00117143535058194,0.00624418207838787,-1.3615605125326,"BANK1","55024","B cell scaffold protein with ankyrin repeats 1","Not Significant"
"ENSG00000100347",0.113617169598645,5.48631871971179,3.27447699479153,0.00117299717656769,0.00625091864291343,-1.58327279625171,"SAMM50","25813","SAMM50 sorting and assembly machinery component","Not Significant"
"ENSG00000026751",0.279345123959707,4.46339186551827,3.27381116448185,0.00117567483555252,0.00626200601211635,-1.50234457529425,"SLAMF7","57823","SLAM family member 7","Not Significant"
"ENSG00000206650",-0.288548782271536,-0.883726883192378,-3.27385071147139,0.0011755156376352,0.00626200601211635,-1.02210857780949,"SNORA70G","100379132","small nucleolar RNA, H/ACA box 70G","Not Significant"
"ENSG00000048052",-0.388087989104345,3.78811992515553,-3.27331943113216,0.00117765599927518,0.00626937426010073,-1.43849009343835,"HDAC9","9734","histone deacetylase 9","Not Significant"
"ENSG00000267370",-0.209181696227742,-0.122765627475518,-3.27333366861481,0.00117759859378444,0.00626937426010073,-1.07790093243105,NA,NA,NA,"Not Significant"
"ENSG00000240268",0.344971778901592,0.0680387142513856,3.27302596104759,0.00117883984863101,0.00627408419818207,-1.10169772997087,"MOXD2P","100289017","monooxygenase DBH like 2, pseudogene","Not Significant"
"ENSG00000230732",-0.247943637982472,0.0213974061540902,-3.27272230505831,0.00118006595045342,0.00627901656792505,-1.08736336312688,NA,NA,NA,"Not Significant"
"ENSG00000136197",-0.164457682318661,0.00445407163374048,-3.27253486966984,0.00118082336762425,0.00628145324268797,-1.08918559726754,"C7orf25","79020","chromosome 7 open reading frame 25","Not Significant"
"ENSG00000151092",-0.0874577207278087,5.74074677459749,-3.27176434796132,0.00118394175095207,0.00629644478352427,-1.59919733080719,"NGLY1","55768","N-glycanase 1","Not Significant"
"ENSG00000230002",-0.183415257866318,0.637322534909529,-3.27135981271116,0.00118558200668257,0.00630356973134774,-1.13673134178994,"ALMS1-IT1","100874291","ALMS1 intronic transcript 1","Not Significant"
