"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000158966",0.205308277504388,2.71537068930641,3.44327442013458,0.000625684931244188,0.00223996230258362,-1.04293653664741,"CACHD1","57685","cache domain containing 1","Not Significant"
"ENSG00000197635",-0.376899515217742,9.24829740983551,-3.44316273098791,0.000625955550113697,0.0022405641177997,-1.19214564759935,"DPP4","1803","dipeptidyl peptidase 4","Not Significant"
"ENSG00000108469",0.148465128223378,5.55134330938401,3.44293909926748,0.000626442105342376,0.00224193853845799,-1.35351043471033,"RECQL5","9400","RecQ like helicase 5","Not Significant"
"ENSG00000013297",-0.331451054756882,-0.796745918055767,-3.4423927378985,0.000627677653337347,0.00224599259845138,-0.693532249452278,"CLDN11","5010","claudin 11","Not Significant"
"ENSG00000114771",-0.656503191921873,6.88835268866878,-3.442122470695,0.000628344722268142,0.00224801149940948,-1.31575198550472,"AADAC","13","arylacetamide deacetylase","Not Significant"
"ENSG00000196081",0.143637566592807,2.31936379080535,3.44204657495884,0.000628461646814459,0.00224806182533172,-0.995232039788901,"ZNF724","440519","zinc finger protein 724","Not Significant"
"ENSG00000259933",0.218542044208783,0.536623408324471,3.44169307073958,0.000629263209991654,0.00225056074579898,-0.816999044866189,"PKD1-AS1","105371049","PKD1 antisense RNA 1","Not Significant"
"ENSG00000162302",0.154823772244859,5.18822062146085,3.44125256993579,0.000630263371249262,0.00225376901865574,-1.34545532976948,"RPS6KA4","8986","ribosomal protein S6 kinase A4","Not Significant"
"ENSG00000005238",0.237023218406065,3.99771721769255,3.44066000552657,0.000631617437861732,0.00225805210958118,-1.23468147376281,"ATOSB","80256","atos homolog B","Not Significant"
"ENSG00000184207",0.12805717860827,3.41734555072442,3.44063513445059,0.000631667761620576,0.00225805210958118,-1.14370480956393,"PGP","283871","phosphoglycolate phosphatase","Not Significant"
"ENSG00000117472",0.304605295047399,8.0745164968531,3.4392443012343,0.000634854117540832,0.00226870039126429,-1.3107735208395,"TSPAN1","10103","tetraspanin 1","Not Significant"
