"cluster","cellAtlas","monacoImmune","Freq"
"10","Monocyte","CD4+ T cells",0
"11","Monocyte","CD4+ T cells",0
"12","Monocyte","CD4+ T cells",0
"13","Monocyte","CD4+ T cells",0
"0","NK_cell","CD4+ T cells",0
"1","NK_cell","CD4+ T cells",0
"2","NK_cell","CD4+ T cells",0
"3","NK_cell","CD4+ T cells",0
"4","NK_cell","CD4+ T cells",0
"5","NK_cell","CD4+ T cells",1
"6","NK_cell","CD4+ T cells",0
"7","NK_cell","CD4+ T cells",0
"8","NK_cell","CD4+ T cells",1
"9","NK_cell","CD4+ T cells",1
"10","NK_cell","CD4+ T cells",0
"11","NK_cell","CD4+ T cells",0
"12","NK_cell","CD4+ T cells",0
"13","NK_cell","CD4+ T cells",0
"0","Pre-B_cell_CD34-","CD4+ T cells",0
"1","Pre-B_cell_CD34-","CD4+ T cells",1
"2","Pre-B_cell_CD34-","CD4+ T cells",0
"3","Pre-B_cell_CD34-","CD4+ T cells",0
"4","Pre-B_cell_CD34-","CD4+ T cells",0
"5","Pre-B_cell_CD34-","CD4+ T cells",0
"6","Pre-B_cell_CD34-","CD4+ T cells",0
"7","Pre-B_cell_CD34-","CD4+ T cells",0
"8","Pre-B_cell_CD34-","CD4+ T cells",0
"9","Pre-B_cell_CD34-","CD4+ T cells",0
"10","Pre-B_cell_CD34-","CD4+ T cells",0
"11","Pre-B_cell_CD34-","CD4+ T cells",0
"12","Pre-B_cell_CD34-","CD4+ T cells",0
"13","Pre-B_cell_CD34-","CD4+ T cells",0
"0","Pro-B_cell_CD34+","CD4+ T cells",0
"1","Pro-B_cell_CD34+","CD4+ T cells",0
"2","Pro-B_cell_CD34+","CD4+ T cells",0
"3","Pro-B_cell_CD34+","CD4+ T cells",0
"4","Pro-B_cell_CD34+","CD4+ T cells",0
"5","Pro-B_cell_CD34+","CD4+ T cells",0
"6","Pro-B_cell_CD34+","CD4+ T cells",0
"7","Pro-B_cell_CD34+","CD4+ T cells",0
"8","Pro-B_cell_CD34+","CD4+ T cells",0
"9","Pro-B_cell_CD34+","CD4+ T cells",0
"10","Pro-B_cell_CD34+","CD4+ T cells",0
"11","Pro-B_cell_CD34+","CD4+ T cells",1
"12","Pro-B_cell_CD34+","CD4+ T cells",0
"13","Pro-B_cell_CD34+","CD4+ T cells",0
"0","T_cells","CD4+ T cells",16
"1","T_cells","CD4+ T cells",5662
"2","T_cells","CD4+ T cells",17
"3","T_cells","CD4+ T cells",768
"4","T_cells","CD4+ T cells",0
"5","T_cells","CD4+ T cells",1163
"6","T_cells","CD4+ T cells",2773
"7","T_cells","CD4+ T cells",74
"8","T_cells","CD4+ T cells",2699
"9","T_cells","CD4+ T cells",380
